"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Consent","Dem_age","Dem_gender","Dem_edu","Dem_edu_mom","Dem_employment","Country","Dem_Expat","Dem_state","Dem_maritalstatus","Dem_dependents","Dem_riskgroup","Dem_islolation","Dem_isolation_adults","Dem_isolation_kids","AD_gain","AD_loss","AD_check","Scale_PSS10_UCLA_1","Scale_PSS10_UCLA_2","Scale_PSS10_UCLA_3","Scale_PSS10_UCLA_4","Scale_PSS10_UCLA_5","Scale_PSS10_UCLA_6","Scale_PSS10_UCLA_7","Scale_PSS10_UCLA_8","Scale_PSS10_UCLA_9","Scale_PSS10_UCLA_10","Scale_PSS10_UCLA_11","Scale_PSS10_UCLA_12","Scale_PSS10_UCLA_13","OECD_people_1","OECD_people_2","OECD_insititutions_1","OECD_insititutions_2","OECD_insititutions_3","OECD_insititutions_4","OECD_insititutions_5","OECD_insititutions_6","Corona_concerns_1","Corona_concerns_2","Corona_concerns_3","Corona_concerns_4","Corona_concerns_5","Trust_countrymeasure","Compliance_1","Compliance_2","Compliance_3","Compliance_4","Compliance_5","Compliance_6","BFF_15_1","BFF_15_2","BFF_15_3","BFF_15_4","BFF_15_5","BFF_15_6","BFF_15_7","BFF_15_8","BFF_15_9","BFF_15_10","BFF_15_11","BFF_15_12","BFF_15_13","BFF_15_14","BFF_15_15","Expl_Distress_1","Expl_Distress_2","Expl_Distress_3","Expl_Distress_4","Expl_Distress_5","Expl_Distress_6","Expl_Distress_7","Expl_Distress_8","Expl_Distress_9","Expl_Distress_10","Expl_Distress_11","Expl_Distress_12","Expl_Distress_13","Expl_Distress_14","Expl_Distress_15","Expl_Distress_16","Expl_Distress_17","Expl_Distress_18","Expl_Distress_19","Expl_Distress_20","Expl_Distress_21","Expl_Distress_22","Expl_Distress_23","Expl_Distress_24","Expl_Distress_txt","SPS_1","SPS_2","SPS_3","SPS_4","SPS_5","SPS_6","SPS_7","SPS_8","SPS_9","SPS_10","Expl_Coping_1","Expl_Coping_2","Expl_Coping_3","Expl_Coping_4","Expl_Coping_5","Expl_Coping_6","Expl_Coping_7","Expl_Coping_8","Expl_Coping_9","Expl_Coping_10","Expl_Coping_11","Expl_Coping_12","Expl_Coping_13","Expl_Coping_14","Expl_Coping_15","Expl_Coping_16","Expl_coping_txt","Expl_media_1","Expl_media_2","Expl_media_3","Expl_media_4","Expl_media_5","Expl_media_6","Final_open","TstressW","TpeopleW","TinstW","TconcernW","TcomplW","TneurosisW","TextroverW","TopenW","TagreeW","TconcW","TdistressW","TspsW","TcopingW","TmediaW","dem_ageG","isoladult","isolkids"
"2020-03-27 10:37:59","2020-03-27 10:55:54","IP Address","100","1074","True","2020-03-27 10:55:55","R_a3iz7vckNkdHJex","anonymous","EN","Yes",38,"Mujeres","Posgrado","Licenciatura","Sin empleo","Mexico","no","Nuevo León","Casada(o)/en unión libre","2","Yes","En aislamiento",3,2,"· If Program A is adopted, 200 people will be saved.","","No",2,2,4,3,3,2,1,2,3,2,1,1,3,3,3,1,1,0,0,5,0,5,5,5,6,5,0,6,6,6,4,1,5,5,5,2,3,1,3,4,5,6,3,3,4,4,3,6,4,0,1,4,5,2,1,6,4,6,5,6,6,6,0,1,1,2,4,2,3,2,5,4,"Looting and criminal behavior rising ",5,5,5,5,5,5,5,5,5,5,2,1,5,1,4,3,4,4,4,3,5,1,3,4,1,2,"",5,4,5,2,4,3,"",24,6,7,26,12,12,7,15,10,13,80,50,47,20,"31 - 40","Sí","Sí"
"2020-03-27 10:57:08","2020-03-27 11:13:22","IP Address","100","974","True","2020-03-27 11:13:23","R_3qm5IUmZ0XlGKvf","anonymous","FI","Yes",33,"Hombres","Licenciatura","Bachillerato ","Empleo de tiempo completo","Mexico","yes","Querétaro","Casada(o)/en unión libre","2","No","En aislamiento",2,2,"· If Program A is adopted, 200 people will be saved.","","No",3,3,5,2,3,2,2,2,3,1,2,3,3,6,8,4,2,4,5,9,3,4,1,5,4,4,2,6,5,5,4,2,6,4,4,2,3,4,3,3,5,5,3,3,5,4,2,5,2,4,2,2,5,3,1,3,5,5,5,5,4,4,2,2,5,2,4,3,3,2,5,4,"",5,4,3,5,5,4,6,5,4,4,2,4,4,2,3,3,5,1,5,4,2,2,4,5,1,1,"",3,4,5,6,4,2,"",26,14,27,18,10,10,10,13,11,11,82,45,48,22,"31 - 40","Sí","Sí"
"2020-03-27 11:03:30","2020-03-27 11:14:05","IP Address","100","634","True","2020-03-27 11:14:05","R_2VDVxAUyG1E3yrY","anonymous","EN","Yes",27,"Hombres","Licenciatura","Licenciatura","Empleo de tiempo completo","Mexico","no","Nuevo León","Soltera(o)","0","Yes","En aislamiento",0,0,"· If Program A is adopted, 200 people will be saved.","","No",3,2,4,2,4,3,1,3,4,2,3,2,4,6,8,4,3,3,3,8,2,3,6,3,6,6,2,4,2,2,3,2,4,4,3,3,5,5,4,5,5,5,3,3,4,2,4,5,2,5,0,3,3,5,2,0,0,6,4,6,6,4,4,5,5,5,4,4,3,3,5,5,"",6,6,5,5,6,5,6,5,6,6,4,5,5,4,3,5,3,3,4,4,4,4,3,3,3,5,"",4,2,4,3,3,2,"",28,14,23,24,4,10,14,15,10,11,89,56,62,16,"21 - 30","No","No"
"2020-03-30 08:33:59","2020-03-30 08:53:04","IP Address","100","1144","True","2020-03-30 08:53:05","R_1LO7DMZigcKvZaZ","anonymous","SME","Yes",40,"Hombres","Posgrado","Primaria","Empleo de tiempo completo","Mexico","no","Veracruz","Casada(o)/en unión libre","1","Yes","En aislamiento",2,0,"· If Program A is adopted, 200 people will be saved.","","No",3,2,3,2,2,2,2,3,2,2,1,1,1,4,6,6,5,6,6,7,6,4,4,5,6,5,5,4,5,5,6,2,1,6,3,3,2,3,2,4,4,5,4,2,4,6,6,5,1,5,1,1,2,1,1,1,1,0,5,4,5,6,1,1,1,1,1,1,4,3,4,6,"",6,6,4,6,6,5,6,6,5,6,5,5,4,2,4,5,1,3,3,5,4,4,6,2,1,5,"",6,5,6,4,5,3,"",23,10,36,24,10,12,7,13,10,17,57,56,59,26,"31 - 40","Sí","No"
"2020-03-30 11:52:40","2020-03-30 12:24:43","IP Address","100","1923","True","2020-03-30 12:24:44","R_2rMFiig2t87cAgR","anonymous","EN","Yes",26,"Hombres","Licenciatura","Licenciatura","Empleo de tiempo completo","Mexico","no","Estado de México","Soltera(o)","0","Yes","En aislamiento",4,0,"· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","","Yes",2,1,3,2,2,3,2,4,3,2,4,2,3,4,6,3,2,6,4,5,4,2,4,1,5,4,3,5,6,5,6,3,4,1,2,2,4,1,1,2,4,2,4,5,5,4,1,5,1,4,0,2,2,1,0,2,0,6,4,4,4,4,4,1,1,4,2,1,2,1,3,1,"Availability of certain products due to deemed as nonessential or price surge due to changes in currency",5,1,1,5,5,4,5,6,4,6,2,5,1,1,1,2,6,4,5,3,4,3,3,5,1,3,"Keeping myself informed of the latest developments of the virus - Agree",2,3,6,2,4,2,"As a teacher, it is of high stress to me that many of my students can't keep up with me over the internet because many don't even have good access to it. And some of them don't have the ability of self regulation in their work for my classes to be of any use to them.",24,10,24,16,11,5,6,8,14,10,54,42,49,17,"21 - 30","Sí","No"
"2020-03-30 14:07:31","2020-03-30 14:23:49","IP Address","100","978","True","2020-03-30 14:23:51","R_1n30AnSF4sJfmKx","anonymous","SME","Yes",33,"Mujeres","Posgrado","Licenciatura","Empleo de tiempo completo","Mexico","no","Jalisco","Divorciada(o)/viuda(o)","0","Yes","La vida sigue con cambios menores",2,0,"","· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No",4,3,5,1,2,2,2,3,3,2,3,4,4,8,7,2,0,3,3,0,3,5,6,4,5,4,0,4,5,3,1,3,4,6,5,1,2,2,1,4,6,5,5,5,6,5,3,5,5,4,0,5,5,2,1,1,0,6,5,6,5,2,0,4,5,3,3,4,6,5,6,1,"",5,1,1,2,5,4,5,2,4,4,4,5,5,5,5,3,5,1,5,5,5,4,5,5,1,4,"",5,4,5,4,5,2,"No poder comprar mascarillas o cubrebocas, ni alcohol en gel",27,15,11,24,8,12,5,15,16,13,84,33,67,23,"31 - 40","Sí","No"
"2020-03-30 14:18:19","2020-03-30 14:28:21","IP Address","100","602","True","2020-03-30 14:28:22","R_WDkVA0BCUNdBLd7","anonymous","SME","Yes",43,"Mujeres","Licenciatura","Ninguna","Empleo de tiempo completo","Mexico","no","Veracruz","Casada(o)/en unión libre","1","Yes","En aislamiento",1,1,"· If Program A is adopted, 200 people will be saved.","","No",3,3,4,2,4,3,2,3,3,3,2,3,3,4,5,0,0,0,1,7,0,6,6,4,6,5,0,5,6,5,2,4,4,4,4,2,2,1,2,6,6,5,5,4,6,4,2,5,4,4,6,3,6,4,1,2,5,6,6,6,6,6,5,4,4,3,5,4,4,4,6,5,"",6,6,4,5,6,5,6,5,5,6,2,5,2,1,3,2,6,6,6,4,3,2,2,6,2,2,"",1,3,4,1,3,1,"",30,9,8,27,11,10,5,17,15,11,109,54,54,12,"41 - 50","Sí","Sí"
"2020-03-30 14:09:18","2020-03-30 14:37:16","IP Address","100","1678","True","2020-03-30 14:37:17","R_3rTehaWTvRWWpL1","anonymous","SME","Yes",36,"Hombres","Licenciatura","Licenciatura","Empleo de tiempo completo","Mexico","no","Estado de México","Casada(o)/en unión libre","1","Yes","En aislamiento",2,1,"· If Program A is adopted, 200 people will be saved.","","No",4,3,5,3,3,5,2,4,4,3,1,1,3,5,8,0,2,0,6,9,2,4,6,2,4,3,0,5,5,5,6,6,1,5,4,3,4,3,2,6,6,6,5,4,4,6,3,4,3,4,5,5,5,2,1,5,5,6,6,5,6,5,2,2,3,2,2,5,5,5,6,2,"",6,5,5,6,5,5,3,6,5,5,1,5,1,4,1,6,5,1,6,3,1,1,4,5,1,4,"",5,5,5,2,5,1,"",36,13,19,19,10,12,9,18,13,13,97,51,49,22,"31 - 40","Sí","Sí"
"2020-03-30 14:11:38","2020-03-30 14:37:47","IP Address","100","1568","True","2020-03-30 14:37:49","R_3fJfQdFcwnBDRX2","anonymous","SME","Yes",46,"Mujeres","Posgrado","Ninguna","Empleo de tiempo completo","Mexico","no","Veracruz","Casada(o)/en unión libre","1","No","La vida sigue con cambios menores",0,1,"","· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No",3,2,4,2,3,1,4,4,4,4,4,4,4,8,8,1,0,0,0,4,0,5,5,5,5,4,0,5,5,5,4,1,1,6,4,2,5,6,4,6,5,6,4,5,5,6,6,6,2,5,6,6,5,3,0,3,5,3,3,6,4,3,5,5,3,3,6,3,3,6,5,3,"",2,2,2,2,2,2,2,4,3,2,1,1,1,2,2,3,2,2,3,2,1,1,2,1,1,1,"",5,3,3,4,3,3,"Puedo ver que el nivel de compromiso de los distintos países depende mucho de su capacidad económica para enfrentar el Coronavirus, creo que México es muy vulnerable en todos sentidos, no hay un compromiso del gobierno y lo que se hace es lo que la gente esta entendiendo hacer, no tiene nada que ver con un apoyo del gobierno, en ningún sentido",31,16,5,24,10,12,15,17,14,18,96,23,26,18,"41 - 50","No","Sí"
"2020-03-30 14:35:12","2020-03-30 14:46:11","IP Address","100","659","True","2020-03-30 14:46:12","R_2YQWold1fT7EV70","anonymous","SME","Yes",26,"Mujeres","Licenciatura","Secundaria","Auto empleo","Mexico","no","Veracruz","Soltera(o)","0","Yes","En aislamiento",1,0,"","· If Program C is adopted 400 people will die.","No",4,4,5,3,3,3,3,4,4,3,4,4,4,5,8,4,1,2,1,1,1,6,6,5,4,3,0,4,5,4,2,4,2,5,3,3,4,4,4,4,5,5,6,5,5,4,4,5,6,5,0,4,6,3,0,4,0,5,5,6,6,5,4,4,5,6,6,5,6,5,5,0,"",5,4,5,3,5,5,5,5,5,5,3,5,4,2,3,4,1,2,6,3,5,4,4,4,1,5,"",3,3,3,5,5,5,"",36,13,10,24,9,11,12,14,16,13,101,47,56,19,"21 - 30","Sí","No"
"2020-03-30 14:15:54","2020-03-30 15:03:33","IP Address","100","2858","True","2020-03-30 15:03:34","R_d3WKJknoc3LBVK1","anonymous","SME","Yes",34,"Hombres","Licenciatura","Licenciatura","Empleo de tiempo completo","Mexico","no","Veracruz","Soltera(o)","0","Yes","La vida sigue con cambios menores",3,0,"· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","","Not sure",2,3,2,2,2,3,1,4,3,3,2,3,1,7,9,6,3,2,6,5,6,1,4,1,6,5,5,6,5,6,6,4,1,5,5,3,4,1,2,4,6,5,3,6,4,5,5,4,2,1,2,4,2,1,1,1,1,1,5,1,2,4,1,2,1,1,1,3,1,1,2,1,"",6,3,2,6,6,5,6,6,2,5,4,5,1,1,1,3,1,1,5,4,1,5,5,6,1,6,"",6,4,6,1,1,1,"En mi caso como soy química clínica tengo q trabajar de la misma forma. Siempre lo he hecho con las medidas de protección normativa",25,16,28,17,11,13,7,15,13,14,42,47,50,18,"31 - 40","Sí","No"
"2020-03-30 14:08:15","2020-03-30 15:06:49","IP Address","100","3513","True","2020-03-30 15:06:50","R_1CsGg1CiuIgatgq","anonymous","SME","Yes",25,"Mujeres","Licenciatura","- Some College or equivalent","Empleo de tiempo completo","Mexico","no","Baja California","Soltera(o)","0","Not sure","En aislamiento",2,0,"","· If Program C is adopted 400 people will die.","No",3,3,4,1,2,2,3,4,3,1,3,4,5,2,2,2,2,5,5,8,7,6,6,5,5,5,5,5,6,6,6,4,4,6,5,4,4,2,1,4,6,5,3,3,6,6,3,6,1,6,0,2,4,1,1,5,0,5,5,6,6,5,4,2,5,2,2,6,3,5,5,4,"",5,4,4,4,6,6,5,4,5,5,3,5,3,2,4,6,2,2,6,4,4,3,6,6,5,3,"",4,6,6,5,6,1,"La visita de amigos o conocidos a mi casa. ",26,4,29,27,12,15,7,15,12,15,85,48,64,27,"21 - 30","Sí","No"
"2020-03-30 14:55:30","2020-03-30 15:16:38","IP Address","100","1268","True","2020-03-30 15:16:39","R_1Cf3Bhe7BtCubYJ","anonymous","SME","Yes",20,"Mujeres","Bachillerato ","Posgrado","Estudiante","Mexico","no","Veracruz","Soltera(o)","0","Yes","En aislamiento",4,0,"","· If Program C is adopted 400 people will die.","No",3,2,3,2,2,3,2,2,3,3,2,3,2,6,8,2,2,2,4,5,0,5,5,4,5,4,0,4,5,4,4,2,2,6,4,2,6,5,1,5,6,5,5,6,5,6,5,6,4,2,0,5,5,5,0,4,0,5,5,5,4,5,0,4,5,4,5,5,5,3,5,0,"",6,6,6,6,5,6,5,6,5,6,2,5,5,4,4,5,6,6,6,4,5,2,6,5,3,4,"",4,4,4,5,5,5,"",25,14,15,23,9,12,12,16,16,17,85,57,72,22,"20 o menos","Sí","No"
