"","X","Dem_state","Dem_gender","dem_ageG","Dem_edu","Dem_employment","Dem_maritalstatus","Dem_islolation","isoladult","isolkids","TstressW"
"1",1,"Nuevo León","Hombres","31 - 40","Posgrado","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",24
"2",2,"Querétaro","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",26
"3",3,"Nuevo León","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",28
"4",4,"Veracruz","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"5",5,"Estado de México","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",24
"6",6,"Jalisco","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","Sí","No",27
"7",7,"Veracruz","Hombres","41 - 50","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",30
"8",8,"Estado de México","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",36
"9",9,"Veracruz","Hombres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","No","Sí",31
"10",10,"Veracruz","Hombres","21 - 30","Licenciatura","Auto empleo","Soltera(o)","En aislamiento","Sí","No",36
"11",11,"Veracruz","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",25
"12",12,"Baja California","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",26
"13",13,"Veracruz","Hombres","20 o menos","Bachillerato ","Estudiante","Soltera(o)","En aislamiento","Sí","No",25
"14",14,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","Sí",30
"15",15,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",36
"16",16,"Puebla","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",29
"17",17,"Zacatecas","Hombres","21 - 30","Licenciatura","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",21
"18",18,"Nuevo León","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",35
"19",19,"Veracruz","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","No",29
"20",20,"Zacatecas","Hombres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","","Sí",NA,17
"21",21,"Veracruz","Mujeres","20 o menos","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",36
"22",22,"Colima","Mujeres","21 - 30","Licenciatura","Auto empleo","Soltera(o)","En aislamiento","Sí","No",35
"23",23,"Veracruz","Mujeres","21 - 30","Licenciatura trunca","Estudiante","Soltera(o)","En aislamiento","Sí","No",31
"24",24,"Veracruz","Mujeres","21 - 30","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",29
"25",25,"Colima","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",17
"26",26,"CDMX","Mujeres","51 - 60","Licenciatura trunca","Retirado-Jubilado","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",26
"27",27,"Colima","Mujeres","31 - 40","Licenciatura","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","Sí",17
"28",28,"Baja California","Mujeres","21 - 30","Posgrado","Estudiante","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",31
"29",29,"CDMX","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",26
"30",30,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",18
"31",31,"Veracruz","Mujeres","41 - 50","Posgrado","Empleo de tiempo parcial","Soltera(o)","En aislamiento","Sí","Sí",28
"32",32,"Colima","Mujeres","31 - 40","Licenciatura trunca","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","No","No",26
"33",33,"Veracruz","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",26
"34",34,"Veracruz",NA,"31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",32
"35",35,"Veracruz","Mujeres","41 - 50","Licenciatura","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",21
"36",36,"Veracruz","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",37
